address,suburb,sale_date,sale_method,price,beds,baths,parking,land_size_sqm,property_type
"3/6 Brierley Street, Mosman",Mosman,2026-08-04,private treaty,975000,2,1,,,Apartment
"11/23 Warringah Road, Mosman",Mosman,2026-07-31,private treaty,865000,1,1,1,,Apartment
"142/15 Hale Road, Mosman",Mosman,2026-07-24,private treaty,3800000,3,2,2,,Retirement Living
"5 Botanic Road, Mosman",Mosman,2026-07-21,auction,8700000,4,3,2,,House
"8/6 Punch Street, Mosman",Mosman,2026-07-20,private treaty,700000,1,1,,,Apartment
"4/3 Millett Road, Mosman",Mosman,2026-07-16,prior to auction,1050000,2,1,1,,Apartment
"7/154 Raglan Street, Mosman",Mosman,2026-07-14,private treaty,785000,1,1,1,,Apartment
"20/96 Ourimbah Road, Mosman",Mosman,2026-07-07,prior to auction,1030000,2,1,1,,Apartment
"4/125 Raglan Street, Mosman",Mosman,2026-07-07,prior to auction,990000,2,1,,,Apartment
"22/43 Musgrave Street, Mosman",Mosman,2026-07-03,private treaty,1310000,2,1,1,,Apartment
"67 Cowles Road, Mosman",Mosman,2026-07-02,prior to auction,3225000,4,2,,,House
"5 Central Avenue, Mosman",Mosman,2026-06-19,private treaty,6399000,5,4,2,607,House
"2/184 Raglan Street, Mosman",Mosman,2026-06-17,private treaty,1237500,2,1,1,,Apartment
"5B/699 Military Road, Mosman",Mosman,2026-06-17,prior to auction,1450000,2,1,1,,Apartment
"15/3 Belmont Road, Mosman",Mosman,2026-06-12,prior to auction,1760000,2,2,1,,Apartment
"1/10 Lang Street, Mosman",Mosman,2026-06-06,private treaty,3200000,4,2,1,,Semi-detached
"14 Almora Street, Mosman",Mosman,2026-06-06,auction,5025000,3,3,2,,House
"16/5 The Esplanade, Mosman",Mosman,2026-06-06,auction,1570000,1,1,1,,Apartment
"1/30 Hale Road, Mosman",Mosman,2026-06-05,private treaty,2180000,3,2,2,,Townhouse
"2 Morella Road, Mosman",Mosman,2026-06-05,private treaty,7360000,5,4,4,594,House
"21/96 Ourimbah Road, Mosman",Mosman,2026-06-05,private treaty,900000,2,1,1,,Apartment
"105 Holt Avenue, Mosman",Mosman,2026-06-05,prior to auction,3550000,4,3,,,House
"10/116 Belmont Road, Mosman",Mosman,2026-06-05,private treaty,2380000,3,2,2,192,Townhouse
